Length	Amplitude	
393.17	-0.0692168
393.484	-0.0898684
393.797	-0.132358
394.11	-0.171492
394.424	-0.230994
394.737	-0.287076
395.05	-0.306977
395.363	-0.340686
395.677	-0.373557
395.99	-0.422371
396.303	-0.427068
396.616	-0.469154
396.93	-0.469077
397.243	-0.517504
397.556	-0.541883
397.87	-0.594161
398.183	-0.63434
398.496	-0.658001
398.81	-0.713544
399.123	-0.731704
399.436	-0.768827
399.749	-0.801115
400.063	-0.771682
400.376	-0.806647
400.689	-0.795383
401.002	-0.792843
401.316	-0.810908
401.629	-0.794113
401.942	-0.780584
402.256	-0.734262
402.569	-0.723279
402.882	-0.686717
403.195	-0.653206
403.509	-0.639386
403.822	-0.598764
404.135	-0.612718
404.449	-0.599806
404.762	-0.540897
405.075	-0.517184
405.389	-0.481727
405.702	-0.438568
406.015	-0.400936
406.328	-0.375103
406.642	-0.357689
406.955	-0.327001
407.268	-0.281228
407.582	-0.247299
407.895	-0.220623
408.208	-0.185503
408.521	-0.170397
408.835	-0.14234
409.148	-0.118629
409.461	-0.0560365
409.774	-0.0491046
410.088	-0.0378054
410.401	0.0120358
410.714	0.0453359
411.028	0.0550478
411.341	0.0887947
411.654	0.100937
411.967	0.147
412.281	0.14008
412.594	0.190308
412.907	0.1924
413.221	0.200984
413.534	0.1803
413.847	0.192467
414.16	0.211852
414.474	0.217064
414.787	0.207321
415.1	0.188413
415.413	0.199669
415.727	0.198049
416.04	0.179022
416.353	0.174368
416.667	0.147343
416.98	0.123865
417.293	0.105158
417.606	0.0737513
417.92	0.0584045
418.233	0.0270864
418.546	0.0146662
418.86	0.00437122
419.173	-0.0433487
419.486	-0.0696657
419.8	-0.0799538
420.113	-0.10141
420.426	-0.147438
420.739	-0.177514
421.053	-0.185962
421.366	-0.191841
421.679	-0.248055
421.993	-0.258104
422.306	-0.270108
422.619	-0.223884
422.932	-0.244287
423.246	-0.282766
423.559	-0.244874
423.872	-0.236568
424.185	-0.196413
424.499	-0.19082
424.812	-0.180856
425.125	-0.118504
425.439	-0.0845768
425.752	-0.0317472
426.065	0.0173805
426.378	0.12839
426.692	0.212152
427.005	0.239081
427.318	0.336283
427.632	0.435729
427.945	0.492309
428.258	0.482226
428.571	0.604089
428.885	0.686953
429.198	0.739392
429.511	0.715709
429.825	0.454469
430.138	0.376145
430.451	0.373392
430.764	0.42468
431.078	0.442454
431.391	0.396749
431.704	0.400803
432.017	0.385323
432.331	0.352981
432.644	0.352477
432.957	0.275571
433.271	0.300687
433.584	0.345729
433.897	0.361352
434.211	0.41429
434.524	0.368783
434.837	0.263417
435.15	0.156708
435.464	0.0356628
435.777	-0.101055
436.09	-0.202189
436.404	-0.302667
436.717	-0.35236
437.03	-0.393028
437.343	-0.432474
437.657	-0.434443
437.97	-0.467667
438.283	-0.441925
438.596	-0.410919
438.91	-0.354711
439.223	-0.259225
439.536	-0.166255
439.85	-0.0994956
440.163	0.00637215
440.476	0.0646282
440.789	0.139386
441.103	0.216165
441.416	0.244488
441.729	0.247599
442.043	0.309332
442.356	0.354274
